행정코드	행정구역명	여부
1122054	서초4동	Y
1122055	잠원동	Y
1122056	반포본동	Y
1122057	반포1동	Y
1122058	반포2동	Y
1122059	반포3동	Y
1122060	반포4동	Y
1122061	방배본동	Y
1122062	방배1동	Y
1122063	방배2동	Y
1122064	방배3동	Y
1122065	방배4동	Y
1122066	양재1동	Y
1122067	양재2동	Y
1122068	내곡동	Y
11230	강남구	Y
1123051	신사동	Y
1123052	논현1동	Y
1123053	논현2동	Y
1123077	압구정동	Y
1123077	압구정동	Y
1123078	청담동	Y
1123078	청담동	Y
1123058	삼성1동	Y
1123059	삼성2동	Y
1123060	대치1동	Y
1123079	대치2동	Y
1123079	대치2동	Y
1123063	대치4동	Y
1123064	역삼1동	Y
1123065	역삼2동	Y
1123066	도곡1동	Y
1123067	도곡2동	Y
1123068	개포1동	Y
1123080	개포2동	Y
1123080	개포2동	Y
1123071	개포4동	Y
1123072	일원본동	Y
1123073	일원1동	Y
1123074	일원2동	Y
1123075	수서동	Y
1123076	세곡동	Y
11240	송파구	Y
1124051	풍납1동	Y
1124052	풍납2동	Y
1124053	거여1동	Y
1124054	거여2동	Y
1124055	마천1동	Y
1124056	마천2동	Y
1124057	방이1동	Y
1124058	방이2동	Y
1124059	오륜동	Y
1124060	오금동	Y
1124061	송파1동	Y
1124062	송파2동	Y
1124063	석촌동	Y
1124064	삼전동	Y
1124065	가락본동	Y
1124066	가락1동	Y
1124067	가락2동	Y
1124068	문정1동	Y
1124069	문정2동	Y
1124081	장지동	Y
1124082	위례동	Y
1124071	잠실본동	Y
1124079	잠실2동	Y
1124079	잠실2동	Y
1124080	잠실3동	Y
1124080	잠실3동	Y
1124075	잠실4동	Y
1124077	잠실6동	Y
1124078	잠실7동	Y
11250	강동구	Y
1125051	강일동	Y
1125052	상일동	Y
1125053	명일1동	Y
1125054	명일2동	Y
1125055	고덕1동	Y
1125056	고덕2동	Y
1125072	암사1동	Y
1125072	암사1동	Y
1125058	암사2동	Y
1125059	암사3동	Y
1125061	천호1동	Y
1125073	천호2동	Y
1125073	천호2동	Y
1125063	천호3동	Y
1125065	성내1동	Y
1125066	성내2동	Y
1125067	성내3동	Y
1125074	길동	Y
1125074	길동	Y
1125070	둔촌1동	Y
1125071	둔촌2동	Y
21	부산광역시	Y
21010	중구	Y
2101051	중앙동	Y
2101052	동광동	Y
2101053	대청동	Y
2101054	보수동	Y
2101056	부평동	Y
2101057	광복동	Y
2101058	남포동	Y
2101059	영주1동	Y
2101060	영주2동	Y
21020	서구	Y
2102051	동대신1동	Y
2102052	동대신2동	Y
2102053	동대신3동	Y
2102054	서대신1동	Y
2102054	서대신1동	Y
2102056	서대신3동	Y
2102057	서대신4동	Y
2102059	부민동	Y
2102061	아미동	Y
2102063	초장동	Y
2102064	충무동	Y
2102065	남부민1동	Y
2102069	남부민2동	Y
2102069	남부민2동	Y
2102068	암남동	Y
21030	동구	Y
2103051	초량1동	Y
2103052	초량2동	Y
2103053	초량3동	Y
2103055	초량6동	Y
2103055	초량6동	Y
2103056	수정1동	Y
2103057	수정2동	Y
2103057	수정2동	Y
2103059	수정4동	Y
2103060	수정5동	Y
2103070	좌천동	Y
2103070	좌천동	Y
2103071	범일1동	Y
2103071	범일1동	Y
2103071	범일1동	Y
2103066	범일2동	Y
2103068	범일5동	Y
21040	영도구	Y
2104053	남항동	Y
2104054	영선1동	Y
2104055	영선2동	Y
2104068	신선동	Y
2104068	신선동	Y
2104068	신선동	Y
2104059	봉래1동	Y
2104069	봉래2동	Y
2104069	봉래2동	Y
2104063	청학1동	Y
2104064	청학2동	Y
2104065	동삼1동	Y
2104066	동삼2동	Y
2104067	동삼3동	Y
21050	부산진구	Y
2105082	부전1동	Y
2105082	부전1동	Y
2105052	부전2동	Y
2105054	연지동	Y
2105055	초읍동	Y
2105056	양정1동	Y
2105057	양정2동	Y
2105083	전포1동	Y
2105061	전포2동	Y
2105061	전포2동	Y
2105064	부암1동	Y
2105066	부암3동	Y
2105080	당감1동	Y
2105068	당감2동	Y
2105068	당감2동	Y
2105070	당감4동	Y
2105081	가야1동	Y
2105072	가야2동	Y
2105072	가야2동	Y
2105074	개금1동	Y
2105075	개금2동	Y
2105076	개금3동	Y
2105077	범천1동	Y
2105084	범천2동	Y
2105084	범천2동	Y
21060	동래구	Y
2106051	수민동	Y
2106052	복산동	Y
2106065	명륜동	Y
2106065	명륜동	Y
2106055	온천1동	Y
2106056	온천2동	Y
2106057	온천3동	Y
2106058	사직1동	Y
2106059	사직2동	Y
2106060	사직3동	Y
2106061	안락1동	Y
2106062	안락2동	Y
2106063	명장1동	Y
2106064	명장2동	Y
21070	남구	Y
2107070	대연1동	Y
2107070	대연1동	Y
2107053	대연3동	Y
2107054	대연4동	Y
2107055	대연5동	Y
2107056	대연6동	Y
2107057	용호1동	Y
2107058	용호2동	Y
2107059	용호3동	Y
2107060	용호4동	Y
2107061	용당동	Y
2107062	감만1동	Y
2107063	감만2동	Y
2107071	우암동	Y
2107071	우암동	Y
2107066	문현1동	Y
2107067	문현2동	Y
2107068	문현3동	Y
2107069	문현4동	Y
21080	북구	Y
2108051	구포1동	Y
2108052	구포2동	Y
2108053	구포3동	Y
2108054	금곡동	Y
2108055	화명1동	Y
2108062	화명2동	Y
2108063	화명3동	Y
2108056	덕천1동	Y
2108057	덕천2동	Y
2108058	덕천3동	Y
2108059	만덕1동	Y
2108060	만덕2동	Y
2108061	만덕3동	Y
21090	해운대구	Y
2109073	우1동	Y
2109074	우2동	Y
2109075	우3동	Y
2109053	중1동	Y
2109054	중2동	Y
2109066	좌1동	Y
2109067	좌2동	Y
2109068	좌3동	Y
2109069	좌4동	Y
2109056	송정동	Y
2109070	반여1동	Y
2109058	반여2동	Y
2109059	반여3동	Y
2109071	반여4동	Y
2109072	반송1동	Y
2109062	반송2동	Y
2109062	반송2동	Y
2109064	재송1동	Y
2109065	재송2동	Y
21100	사하구	Y
2110051	괴정1동	Y
2110052	괴정2동	Y
2110053	괴정3동	Y
2110054	괴정4동	Y
2110055	당리동	Y
2110056	하단1동	Y
2110057	하단2동	Y
2110058	신평1동	Y
2110059	신평2동	Y
2110060	장림1동	Y
2110061	장림2동	Y
2110062	다대1동	Y
2110063	다대2동	Y
2110064	구평동	Y
2110065	감천1동	Y
2110066	감천2동	Y
21110	금정구	Y
2111051	서1동	Y
2111052	서2동	Y
2111072	서3동	Y
2111072	서3동	Y
2111073	금사회동동	Y
2111057	부곡1동	Y
2111058	부곡2동	Y
2111059	부곡3동	Y
2111060	부곡4동	Y
2111061	장전1동	Y
2111074	장전2동	Y
2111074	장전2동	Y
2111064	선두구동	Y
2111067	청룡노포동	Y
2111068	남산동	Y
2111069	구서1동	Y
2111070	구서2동	Y
2111071	금성동	Y
21120	강서구	Y
2112051	대저1동	Y
2112052	대저2동	Y
2112053	강동동	Y
2112059	명지1동	Y
2112060	명지2동	Y
2112055	가락동	Y
2112056	녹산동	Y
2112058	가덕도동	Y
21130	연제구	Y
2113051	거제1동	Y
2113052	거제2동	Y
2113053	거제3동	Y
2113054	거제4동	Y
2113055	연산1동	Y
2113056	연산2동	Y
2113057	연산3동	Y
2113058	연산4동	Y
2113059	연산5동	Y
2113060	연산6동	Y
2113060	연산6동	Y
2113062	연산8동	Y
2113063	연산9동	Y
21140	수영구	Y
2114051	남천1동	Y
2114052	남천2동	Y
2114053	수영동	Y
2114054	망미1동	Y
2114055	망미2동	Y
2114056	광안1동	Y
2114057	광안2동	Y
2114058	광안3동	Y
2114059	광안4동	Y
2114060	민락동	Y
21150	사상구	Y
2115051	삼락동	Y
2115052	모라1동	Y
2115052	모라1동	Y
2115054	모라3동	Y
2115055	덕포1동	Y
2115056	덕포2동	Y
2115057	괘법동	Y
2115065	감전동	Y
2115065	감전동	Y
2115060	주례1동	Y
2115061	주례2동	Y
2115062	주례3동	Y
2115063	학장동	Y
2115064	엄궁동	Y
21310	기장군	Y
2131011	기장읍	Y
2131012	장안읍	Y
2131031	일광면	Y
2131013	정관읍	Y
2131033	철마면	Y
22	대구광역시	Y
22010	중구	Y
2201070	동인동	Y
2201070	동인동	Y
2201054	삼덕동	Y
2201056	성내1동	Y
2201059	성내2동	Y
2201061	성내3동	Y
2201062	대신동	Y
2201064	남산1동	Y
2201065	남산2동	Y
2201066	남산3동	Y
2201067	남산4동	Y
2201068	대봉1동	Y
2201069	대봉2동	Y
22020	동구	Y
2202051	신암1동	Y
2202052	신암2동	Y
2202053	신암3동	Y
2202054	신암4동	Y
2202055	신암5동	Y
2202056	신천1·2동	Y
2202058	신천3동	Y
2202059	신천4동	Y
2202060	효목1동	Y
2202061	효목2동	Y
2202062	도평동	Y
2202063	불로·봉무동	Y
2202065	지저동	Y
2202066	동촌동	Y
2202068	방촌동	Y
2202069	해안동	Y
2202071	공산동	Y
2202073	안심1동	Y
2202074	안심2동	Y
2202076	안심3동	Y
2202077	안심4동	Y
2202078	혁신동	Y
22030	서구	Y
2203051	내당1동	Y
2203052	내당2·3동	Y
2203053	내당4동	Y
2203054	비산1동	Y
2203055	비산2·3동	Y
2203056	비산4동	Y
2203057	비산5동	Y
2203058	비산6동	Y
2203059	비산7동	Y
2203060	평리1동	Y
2203061	평리2동	Y
2203062	평리3동	Y
2203063	평리4동	Y
2203064	평리5동	Y
2203065	평리6동	Y
2203066	상중이동	Y
2203068	원대동	Y
22040	남구	Y
2204051	이천동	Y
2204053	봉덕1동	Y
2204054	봉덕2동	Y
2204055	봉덕3동	Y
2204056	대명1동	Y
2204057	대명2동	Y
2204058	대명3동	Y
2204059	대명4동	Y
2204060	대명5동	Y
2204061	대명6동	Y
2204064	대명9동	Y
2204065	대명10동	Y
2204066	대명11동	Y
22050	북구	Y
2205051	고성동	Y
2205052	칠성동	Y
2205052	칠성동	Y
2205055	침산1동	Y
2205056	침산2동	Y
2205057	침산3동	Y
2205081	노원동	Y
2205081	노원동	Y
2205061	산격1동	Y
2205062	산격2동	Y
2205063	산격3동	Y
2205064	산격4동	Y
2205065	복현1동	Y
2205066	복현2동	Y
2205084	대현동	Y
2205084	대현동	Y
2205070	검단동	Y
2205071	무태조야동	Y
2205075	관문동	Y
2205078	태전1동	Y
2205074	태전2동	Y
2205079	구암동	Y
2205077	관음동	Y
2205076	읍내동	Y
2205082	동천동	Y
2205083	국우동	Y
22060	수성구	Y
2206051	범어1동	Y
2206052	범어2동	Y
2206053	범어3동	Y
2206054	범어4동	Y
2206055	만촌1동	Y
2206056	만촌2동	Y
2206057	만촌3동	Y
2206058	수성1가동	Y
2206059	수성2·3가동	Y
2206060	수성4가동	Y
2206061	황금1동	Y
2206062	황금2동	Y
2206063	중동	Y
2206064	상동	Y
2206065	파동	Y
2206066	두산동	Y
2206067	지산1동	Y
2206068	지산2동	Y
2206069	범물1동	Y
2206070	범물2동	Y
2206071	고산1동	Y
2206072	고산2동	Y
2206073	고산3동	Y
22070	달서구	Y
2207075	성당동	Y
2207075	성당동	Y
2207076	"두류1,2동"	Y
2207076	"두류1,2동"	Y
2207055	두류3동	Y
2207056	본리동	Y
2207057	감삼동	Y
2207058	죽전동	Y
2207059	장기동	Y
2207072	용산1동	Y
2207073	용산2동	Y
2207060	이곡1동	Y
2207074	이곡2동	Y
2207061	신당동	Y
2207062	월성1동	Y
2207063	월성2동	Y
2207064	진천동	Y
2207065	상인1동	Y
2207066	상인2동	Y
2207067	상인3동	Y
2207068	도원동	Y
2207069	송현1동	Y
2207070	송현2동	Y
2207071	본동	Y
22310	달성군	Y
2231011	화원읍	Y
2231012	논공읍	Y
2231013	다사읍	Y
2231014	유가읍	Y
2231015	옥포읍	Y
